commit_date,year,month,followers,new_followers,tweets,tweet_impressions,profile_visits,mentions
20190201,2019,Jan,22345,405,26,217000,3603,292
20190102,2018,Dec,21925,333,28,211000,2369,212
20181202,2018,Nov,21531,476,38,244000,4104,497
20181104,2018,Oct,21029,414,40,265000,2916,275
20181002,2018,Sep,20515,403,43,324000,3624,353
20180905,2018,Aug,20109,336,27,176000,2543,193
20180802,2018,Jul,NA,401,14,165000,2707,292
20180802,2018,Jun,NA,435,27,240000,3415,359
20180802,2018,May,NA,417,49,269000,4583,531
20180802,2018,Apr,NA,394,34,205000,3584,368
20180802,2018,Mar,NA,484,33,183000,4484,521
20180802,2018,Feb,NA,546,22,216000,4517,375
20180201,2018,Jan,16900,534,22,193000,3644,367
20180108,2017,Dec,16500,434,17,192000,2951,264
20171205,2017,Nov,16000,390,33,210000,3219,244
20171102,2017,Oct,15530,435,23,185000,3514,250
20171002,2017,Sep,15058,393,45,176000,2801,200
20171002,2017,Aug,14600,509,43,255000,4319,360
20171002,2017,Jul,14200,333,27,171000,3546,304
20171002,2017,Jun,NA,368,33,191000,3276,363
20171002,2017,May,NA,NA,20,110000,3406,340
20171002,2017,Apr,12900,315,32,102000,2723,155
20171002,2017,Mar,NA,286,26,97000,2673,152
20171002,2017,Feb,NA,290,25,125000,3158,174
20171002,2017,Jan,NA,355,37,104000,2594,160
20171002,2016,Dec,NA,254,37,110000,1997,145
20171002,2016,Nov,NA,295,29,87000,1657,99
20171002,2016,Oct,NA,261,21,66200,1817,73
20171002,2016,Sep,11700,236,16,87600,1927,95
20171002,2016,Aug,NA,264,24,82500,1855,70
20171002,2016,Jul,NA,211,20,73400,1679,46
20171002,2016,Jun,NA,NA,16,51800,1669,72
20171002,2016,May,NA,NA,23,117000,1860,65
20171002,2016,Apr,NA,NA,15,57900,1759,116
20171002,2016,Mar,NA,NA,23,86900,2443,134
20171002,2016,Feb,NA,NA,17,53600,1616,61
20171002,2016,Jan,NA,NA,14,40600,1757,101
